Date	Today Cash	Expense	Total Sale
19-Aug	1620	320	2080
20-Aug	2320	1255	2730
21-Aug	1830	1560	1680
22-Aug	1800	2885	3555
23-Aug	1570	2171	3241
24-Aug	1270	4875	1885
25-Aug	3130	3516	4666
26-Aug	2950	1770	2750
27-Aug	2870	1250	1370
28-Aug	3210	1127	2417
29-Aug	2280	2379	1799
30-Aug	3700	0	2073
31-Aug	3500	1730	2360

Date	Today Cash	Expense	Total Sale
1-Sep	4900	2418	5308
2-Sep	3650	2400	2090
3-Sep	4150	1010	1750
4-Sep	5530	900	2810
5-Sep	5470	1880	2210
7-Sep	5580	1220	2540
8-Sep	4180	3960	5270
9-Sep	4200	1100	2530
10-Sep	3170	8188	3388
11-Sep	1800	1810	1500
12-Sep	2650	1200	1090
13-Sep	3520	1125	4876
14-Sep	2100	3933	4373
15-Sep	4000	6841	7211
16-Sep	3640	2160	2460
17-Sep	2950	1490	1230
18-Sep	3700	0	1190
19-Sep	2900	2388	2848
20-Sep	4400	355	3225
21-Sep	3700	2880	2150
22-Sep	3900	2630	5050
23-Sep	570	5645	2590
24-Sep	60	780	630
25-Sep	770	0	1440
26-Sep	1160	810	1890
27-Sep	1720	250	1550
28-Sep	470	4755	1490
29-Sep	1820	2018	5808
30-Sep	740	1995	1580

Date	Today Cash	Expense	Total Sale
1-Oct	1800	70	2260
2-Oct	840	1730	2480
3-Oct	850	1280	1160
4-Oct	970	1088	2140
5-Oct	500	2350	1370
6-Oct	1740	1728	2300
7-Oct	2060	520	1340
8-Oct	3170	0	1510
9-Oct	1530	2770	2520
10-Oct	1160	895	1200
11-Oct	1730	0	690
12-Oct	1720	920	2480
13-Oct	2030	2018	4398
14-Oct	530	4670	1260
15-Oct	1450	468	2158
16-Oct	950	2540	1000
17-Oct	950	2815	1010
18-Oct	1170	205	1665
19-Oct	1810	1990	2580
20-Oct	800	1980	1750
21-Oct	1100	200	810
22-Oct	2300	0	1870
23-Oct	1080	1712	1900
24-Oct	2430	3750	2070
25-Oct	2080	1050	1030
26-Oct	850	2240	1110
27-Oct	300	1150	770

Date	Today Cash	Expense	Total Sale
3-Nov	1630	2433	1790
4-Nov	1120	1120	1860
5-Nov	960	730	1430
6-Nov	1450	1240	2220
7-Nov	1470	1025	1710
8-Nov	2520	280	2640
9-Nov	1600	3685	1925
10-Nov	1360	3940	3690
11-Nov	750	1510	1230
12-Nov	860	780	1030
13-Nov	1420	685	3150
14-Nov	2460	3450	3620
15-Nov	1180	2338	1233
18-Nov	1300	915	2090
19-Nov	3130	1450	5820
20-Nov	3080	2435	3000
21-Nov	1200	9950	1980
22-Nov	1460	1450	2040
23-Nov	1370	1570	1970
